date,away,home,period,time,challenging,challenge_type,result,link
3/3/20,SAS,CHA,3rd,1:37,CHA,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_SAS_CHA_Charlotte_Defensive_Foul_Challenge_030320
3/3/20,SAS,CHA,4th,9:09,SAS,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_SAS_CHA_San_Antonio_Offensive_Foul_Challenge_030320
3/3/20,LAC,OKC,4th,10:22,OKC,OB,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAC_OKC_Oklahoma_City_OB_Challenge_030320
3/3/20,LAC,OKC,4th,5:42,LAC,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAC_OKC_LA_Clippers_Defensive_Foul_Challenge_030320
3/3/20,GSW,DEN,4th,3:46,GSW,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_GSW_DEN_Golden_State_Offensive_Foul_Challenge_030320
3/3/20,TOR,PHX,4th,3:34,TOR,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_TOR_PHX_Toronto_Offensive_Foul_Challenge_030320
3/2/20,UTA,CLE,1st,10:37,CLE,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_CLE_Cleveland_Defensive_Foul_Challenge_030220
3/2/20,HOU,NYK,4th,2:45,HOU,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_HOU_NYK_Houston_Defensive_Foul_Challenge_030220
3/2/20,DAL,CHI,3rd,11:06,CHI,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DAL_CHI_Chicago_Offensive_Foul_Challenge_030220
3/2/20,IND,SAS,3rd,7:35,IND,GT,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_IND_SAS_Indiana_Goaltending_Challenge_030220
3/1/20,MIL,CHA,4th,4:27,CHA,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIL_CHA_Charlotte_Defensive_Foul_Challenge_030120
